PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Tobias Harris	DET	DET @ WAS	11/17/2024	W	28	12	4	11	36.4	1	3	33.3	3	4	75.0	2	7	9	3	0	1	0	0	24	30.3
Malik Beasley	DET	DET @ WAS	11/17/2024	W	29	26	10	16	62.5	6	11	54.5	0	0	-	1	2	3	1	1	0	0	0	30	34.1
Cade Cunningham	DET	DET @ WAS	11/17/2024	W	31	21	7	15	46.7	2	4	50.0	5	5	100	2	8	10	10	5	1	2	2	18	64.0
Jalen Duren	DET	DET @ WAS	11/17/2024	W	18	11	5	8	62.5	0	0	-	1	4	25.0	4	6	10	1	1	0	1	3	22	26.5
Marcus Sasser	DET	DET @ WAS	11/17/2024	W	13	7	3	8	37.5	1	4	25.0	0	0	-	0	0	0	0	0	0	0	1	-6	7.0
Tobias Harris	DET	DET @ TOR	11/15/2024	W	28	11	5	13	38.5	1	4	25.0	0	0	-	2	9	11	3	0	0	2	4	5	26.7
Cade Cunningham	DET	DET @ TOR	11/15/2024	W	36	15	6	21	28.6	2	9	22.2	1	2	50.0	2	4	6	10	1	0	4	2	-10	36.2
Jalen Duren	DET	DET @ TOR	11/15/2024	W	24	12	5	6	83.3	0	0	-	2	4	50.0	2	6	8	1	0	1	1	5	-6	25.1
Ronald Holland II	DET	DET @ TOR	11/15/2024	W	21	10	3	11	27.3	0	6	0.0	4	4	100	4	4	8	0	3	1	2	1	-5	29.6
Malik Beasley	DET	DET @ TOR	11/15/2024	W	30	20	8	15	53.3	4	9	44.4	0	0	-	0	3	3	0	1	0	0	2	-7	26.6
Isaiah Stewart	DET	DET @ TOR	11/15/2024	W	24	3	1	2	50.0	0	1	0.0	1	1	100	1	6	7	1	0	2	1	2	9	17.9
Jaden Ivey	DET	DET @ TOR	11/15/2024	W	28	14	4	13	30.8	1	5	20.0	5	8	62.5	1	1	2	5	1	2	2	0	9	30.9
Wendell Moore Jr.	DET	DET @ TOR	11/15/2024	W	30	8	4	6	66.7	0	1	0.0	0	1	0.0	2	4	6	2	1	1	0	0	18	24.2
Marcus Sasser	DET	DET @ TOR	11/15/2024	W	17	6	3	8	37.5	0	3	0.0	0	0	-	0	5	5	2	1	1	1	0	7	20.0
Ronald Holland II	DET	DET @ MIL	11/13/2024	L	29	11	5	10	50.0	0	2	0.0	1	3	33.3	0	4	4	2	1	0	0	1	1	21.8
Jalen Duren	DET	DET @ MIL	11/13/2024	L	34	9	3	4	75.0	0	0	-	3	4	75.0	4	5	9	6	0	0	5	5	-9	23.8
Tobias Harris	DET	DET @ MIL	11/13/2024	L	44	10	4	15	26.7	2	5	40.0	0	0	-	0	8	8	5	1	2	0	2	1	36.1
Wendell Moore Jr.	DET	DET @ MIL	11/13/2024	L	23	9	4	8	50.0	1	2	50.0	0	0	-	2	2	4	0	1	0	1	2	-17	15.8
Isaiah Stewart	DET	DET @ MIL	11/13/2024	L	14	9	4	6	66.7	1	1	100	0	0	-	1	2	3	0	0	1	0	2	1	15.6
Marcus Sasser	DET	DET @ MIL	11/13/2024	L	25	11	4	6	66.7	1	2	50.0	2	2	100	0	0	0	1	1	1	0	0	-14	18.5
Cade Cunningham	DET	DET @ MIL	11/13/2024	L	43	35	13	34	38.2	5	10	50.0	4	4	100	2	5	7	11	2	3	6	4	-4	68.9
Malik Beasley	DET	DET @ MIL	11/13/2024	L	44	26	9	17	52.9	8	16	50.0	0	0	-	2	8	10	4	0	0	2	2	13	42.0
Tim Hardaway Jr.	DET	DET vs. MIA	11/12/2024	W	19	11	3	6	50.0	1	4	25.0	4	4	100	0	1	1	1	0	0	0	2	6	13.7
Jalen Duren	DET	DET vs. MIA	11/12/2024	W	30	8	4	5	80.0	0	0	-	0	2	0.0	3	8	11	5	0	2	1	3	0	33.7
Simone Fontecchio	DET	DET vs. MIA	11/12/2024	W	23	10	4	8	50.0	2	5	40.0	0	0	-	0	2	2	3	0	0	2	2	12	14.9
Ronald Holland II	DET	DET vs. MIA	11/12/2024	W	16	2	0	2	0.0	0	0	-	2	2	100	2	2	4	1	0	0	0	1	-1	8.3
Tobias Harris	DET	DET vs. MIA	11/12/2024	W	40	18	7	15	46.7	2	4	50.0	2	2	100	2	5	7	4	1	0	2	0	4	33.4
Malik Beasley	DET	DET vs. MIA	11/12/2024	W	35	21	7	17	41.2	5	11	45.5	2	3	66.7	1	4	5	1	1	0	4	2	-9	27.5
Isaiah Stewart	DET	DET vs. MIA	11/12/2024	W	23	13	4	6	66.7	0	0	-	5	6	83.3	5	5	10	1	1	0	0	2	2	29.5
Cade Cunningham	DET	DET vs. MIA	11/12/2024	W	38	21	6	15	40.0	2	7	28.6	7	7	100	0	7	7	9	0	2	7	1	-2	41.9
Jaden Ivey	DET	DET vs. MIA	11/12/2024	W	41	19	8	18	44.4	1	5	20.0	2	2	100	2	7	9	7	1	0	3	6	-2	40.3
Isaiah Stewart	DET	DET vs. HOU	11/10/2024	L	33	16	7	9	77.8	0	0	-	2	2	100	5	3	8	1	1	2	1	4	2	35.1
Malik Beasley	DET	DET vs. HOU	11/10/2024	L	27	15	5	12	41.7	4	9	44.4	1	2	50.0	1	1	2	3	1	0	3	2	8	21.9
Cade Cunningham	DET	DET vs. HOU	11/10/2024	L	36	26	10	21	47.6	2	4	50.0	4	6	66.7	0	8	8	9	0	1	4	3	-6	48.1
Ronald Holland II	DET	DET vs. HOU	11/10/2024	L	13	4	1	6	16.7	1	6	16.7	1	2	50.0	0	1	1	0	0	0	1	1	-5	4.2
Simone Fontecchio	DET	DET vs. HOU	11/10/2024	L	17	5	1	4	25.0	1	3	33.3	2	2	100	0	4	4	2	0	0	0	0	-5	12.8
Paul Reed	DET	DET vs. HOU	11/10/2024	L	15	6	2	2	100	0	0	-	2	2	100	2	2	4	1	0	1	1	6	-5	14.3
Jaden Ivey	DET	DET vs. HOU	11/10/2024	L	34	8	4	15	26.7	0	4	0.0	0	0	-	1	6	7	2	0	0	6	4	-3	13.4
Tim Hardaway Jr.	DET	DET vs. HOU	11/10/2024	L	30	10	3	10	30.0	2	6	33.3	2	2	100	0	4	4	2	1	0	0	0	1	20.8
Tobias Harris	DET	DET vs. HOU	11/10/2024	L	35	9	3	5	60.0	1	2	50.0	2	5	40.0	2	6	8	1	3	2	2	1	3	33.1
Malik Beasley	DET	DET vs. ATL	11/08/2024	W	34	22	8	14	57.1	3	9	33.3	3	5	60.0	2	0	2	1	0	0	2	2	-3	23.9
Isaiah Stewart	DET	DET vs. ATL	11/08/2024	W	33	10	5	8	62.5	0	0	-	0	0	-	4	7	11	3	0	1	1	2	-3	29.7
Cade Cunningham	DET	DET vs. ATL	11/08/2024	W	36	22	8	17	47.1	1	4	25.0	5	5	100	1	10	11	13	1	1	7	2	3	53.7
Simone Fontecchio	DET	DET vs. ATL	11/08/2024	W	20	11	3	6	50.0	1	4	25.0	4	5	80.0	1	4	5	1	1	0	1	1	5	20.5
Ronald Holland II	DET	DET vs. ATL	11/08/2024	W	14	5	2	5	40.0	0	1	0.0	1	1	100	1	0	1	0	0	0	0	1	3	6.2
Tobias Harris	DET	DET vs. ATL	11/08/2024	W	31	22	7	13	53.8	5	8	62.5	3	4	75.0	0	6	6	2	0	3	0	1	1	41.2
Paul Reed	DET	DET vs. ATL	11/08/2024	W	15	5	2	6	33.3	1	1	100	0	0	-	0	1	1	0	1	0	2	2	-1	7.2
Tim Hardaway Jr.	DET	DET vs. ATL	11/08/2024	W	29	7	2	4	50.0	1	2	50.0	2	4	50.0	0	5	5	4	3	0	3	3	3	25.0
Jaden Ivey	DET	DET vs. ATL	11/08/2024	W	29	18	7	13	53.8	1	4	25.0	3	7	42.9	2	1	3	3	1	3	4	4	-3	34.1
Malik Beasley	DET	DET @ CHA	11/06/2024	L	24	5	2	11	18.2	1	7	14.3	0	0	-	0	1	1	5	2	0	0	1	12	19.7
Isaiah Stewart	DET	DET @ CHA	11/06/2024	L	26	6	3	6	50.0	0	1	0.0	0	2	0.0	1	6	7	6	0	1	1	2	-7	25.4
Jaden Ivey	DET	DET @ CHA	11/06/2024	L	34	21	8	16	50.0	3	5	60.0	2	2	100	2	2	4	5	0	1	3	2	-14	33.3
Simone Fontecchio	DET	DET @ CHA	11/06/2024	L	20	7	3	4	75.0	1	2	50.0	0	0	-	1	4	5	1	0	0	0	0	6	14.5
Ronald Holland II	DET	DET @ CHA	11/06/2024	L	16	8	3	5	60.0	2	3	66.7	0	0	-	1	3	4	0	0	0	1	1	12	11.8
Cade Cunningham	DET	DET @ CHA	11/06/2024	L	38	20	9	23	39.1	0	4	0.0	2	2	100	1	9	10	10	0	0	2	5	-1	45.0
Paul Reed	DET	DET @ CHA	11/06/2024	L	12	13	6	6	100	0	0	-	1	2	50.0	0	2	2	0	2	1	1	3	0	23.4
Tim Hardaway Jr.	DET	DET @ CHA	11/06/2024	L	31	13	5	10	50.0	3	7	42.9	0	0	-	0	3	3	3	0	0	1	0	-8	20.1
Tobias Harris	DET	DET @ CHA	11/06/2024	L	32	14	7	12	58.3	0	3	0.0	0	1	0.0	0	7	7	3	1	1	1	5	-8	31.9
Jaden Ivey	DET	DET vs. LAL	11/04/2024	W	35	26	10	16	62.5	1	2	50.0	5	7	71.4	1	3	4	4	1	1	4	3	20	38.8
Cade Cunningham	DET	DET vs. LAL	11/04/2024	W	36	17	7	17	41.2	1	5	20.0	2	5	40.0	2	9	11	11	0	0	3	1	14	43.7
Isaiah Stewart	DET	DET vs. LAL	11/04/2024	W	25	8	3	7	42.9	0	0	-	2	2	100	4	5	9	2	0	2	0	3	4	27.8
Malik Beasley	DET	DET vs. LAL	11/04/2024	W	28	7	2	10	20.0	1	5	20.0	2	2	100	1	3	4	1	0	0	1	3	-6	12.3
Tobias Harris	DET	DET vs. LAL	11/04/2024	W	30	15	7	15	46.7	1	7	14.3	0	0	-	0	7	7	1	1	1	2	5	17	28.9
Ronald Holland II	DET	DET vs. LAL	11/04/2024	W	17	12	4	9	44.4	0	5	0.0	4	4	100	1	3	4	0	2	0	0	1	5	22.8
Simone Fontecchio	DET	DET vs. LAL	11/04/2024	W	13	0	0	3	0.0	0	2	0.0	0	0	-	0	2	2	1	1	0	0	4	3	6.9
Jalen Duren	DET	DET vs. LAL	11/04/2024	W	24	11	5	7	71.4	0	0	-	1	1	100	8	6	14	1	1	1	2	5	6	33.3
Tim Hardaway Jr.	DET	DET vs. LAL	11/04/2024	W	32	19	7	12	58.3	4	8	50.0	1	1	100	0	0	0	1	0	0	0	0	-3	20.5
Isaiah Stewart	DET	DET @ BKN	11/03/2024	W	14	2	0	0	-	0	0	-	2	2	100	0	5	5	0	0	2	1	6	8	13.0
Jalen Duren	DET	DET @ BKN	11/03/2024	W	33	13	5	5	100	0	0	-	3	4	75.0	3	14	17	4	1	3	4	3	6	47.4
Jaden Ivey	DET	DET @ BKN	11/03/2024	W	35	15	4	15	26.7	1	7	14.3	6	7	85.7	0	5	5	5	1	1	4	2	10	30.5
Simone Fontecchio	DET	DET @ BKN	11/03/2024	W	24	7	1	6	16.7	1	4	25.0	4	5	80.0	2	6	8	1	0	0	0	1	10	18.1
Cade Cunningham	DET	DET @ BKN	11/03/2024	W	35	19	8	13	61.5	1	4	25.0	2	3	66.7	1	5	6	5	0	0	7	3	11	26.7
Malik Beasley	DET	DET @ BKN	11/03/2024	W	29	18	6	15	40.0	4	11	36.4	2	3	66.7	0	1	1	1	2	0	0	3	18	26.7
Ronald Holland II	DET	DET @ BKN	11/03/2024	W	10	0	0	1	0.0	0	0	-	0	0	-	0	0	0	1	0	0	0	2	-7	1.5
Tobias Harris	DET	DET @ BKN	11/03/2024	W	35	18	8	13	61.5	1	4	25.0	1	1	100	3	2	5	6	0	0	1	1	12	32.0
Tim Hardaway Jr.	DET	DET @ BKN	11/03/2024	W	23	14	5	9	55.6	3	6	50.0	1	1	100	0	0	0	2	0	0	0	4	-2	17.0
Simone Fontecchio	DET	DET vs. NYK	11/01/2024	L	20	12	5	7	71.4	2	4	50.0	0	1	0.0	0	4	4	0	0	0	2	0	-17	14.8
