PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Christian Braun	DEN	DEN @ MEM	11/19/2024	W	34	19	7	12	58.3	0	2	0.0	5	6	83.3	2	5	7	2	3	0	2	4	22	37.4
Vlatko Čančar	DEN	DEN @ MEM	11/19/2024	W	11	5	2	3	66.7	1	1	100	0	0	-	1	3	4	0	0	0	1	1	6	8.8
Dario Šarić	DEN	DEN @ MEM	11/19/2024	W	18	8	2	6	33.3	2	4	50.0	2	2	100	0	5	5	1	2	0	3	5	10	18.5
Russell Westbrook	DEN	DEN @ MEM	11/19/2024	W	32	12	5	12	41.7	1	4	25.0	1	2	50.0	1	9	10	14	2	1	5	3	-2	49.0
Jamal Murray	DEN	DEN @ MEM	11/19/2024	W	36	27	10	20	50.0	5	10	50.0	2	3	66.7	1	3	4	6	3	2	3	2	18	52.8
Julian Strawther	DEN	DEN @ MEM	11/19/2024	W	20	6	2	7	28.6	1	4	25.0	1	2	50.0	0	5	5	0	2	1	0	3	-6	21.0
Peyton Watson	DEN	DEN @ MEM	11/19/2024	W	25	15	6	10	60.0	2	5	40.0	1	1	100	1	4	5	2	1	1	4	6	8	26.0
Vlatko Čančar	DEN	DEN @ MEM	11/17/2024	L	13	2	1	2	50.0	0	1	0.0	0	0	-	1	0	1	0	0	0	1	3	-9	2.2
Julian Strawther	DEN	DEN @ MEM	11/17/2024	L	25	19	6	13	46.2	4	7	57.1	3	4	75.0	0	4	4	3	1	1	0	2	-11	34.3
Peyton Watson	DEN	DEN @ MEM	11/17/2024	L	28	7	3	7	42.9	1	2	50.0	0	0	-	1	4	5	2	1	1	0	0	-10	22.0
DeAndre Jordan	DEN	DEN @ MEM	11/17/2024	L	14	4	2	3	66.7	0	0	-	0	0	-	0	2	2	0	0	0	0	1	-10	6.4
Michael Porter Jr.	DEN	DEN @ MEM	11/17/2024	L	27	10	4	12	33.3	0	4	0.0	2	2	100	0	3	3	1	0	0	2	1	-15	13.1
Christian Braun	DEN	DEN @ MEM	11/17/2024	L	34	13	5	11	45.5	0	2	0.0	3	4	75.0	1	3	4	4	1	0	1	0	-2	25.8
Jamal Murray	DEN	DEN @ MEM	11/17/2024	L	37	13	6	15	40.0	1	6	16.7	0	0	-	1	5	6	7	3	2	6	3	-3	39.7
Dario Šarić	DEN	DEN @ MEM	11/17/2024	L	32	10	4	10	40.0	2	5	40.0	0	0	-	2	8	10	3	2	0	0	1	-5	32.5
Russell Westbrook	DEN	DEN @ MEM	11/17/2024	L	23	12	4	10	40.0	2	3	66.7	2	4	50.0	0	3	3	3	1	1	3	1	-10	23.1
Christian Braun	DEN	DEN @ NOP	11/15/2024	L	37	15	7	12	58.3	0	2	0.0	1	1	100	1	3	4	3	5	0	1	3	-11	38.3
Michael Porter Jr.	DEN	DEN @ NOP	11/15/2024	L	39	24	10	18	55.6	4	7	57.1	0	0	-	1	5	6	3	0	0	0	3	1	35.7
Jamal Murray	DEN	DEN @ NOP	11/15/2024	L	43	16	6	16	37.5	2	8	25.0	2	2	100	0	6	6	8	2	0	0	1	0	41.2
Peyton Watson	DEN	DEN @ NOP	11/15/2024	L	29	18	6	12	50.0	1	5	20.0	5	6	83.3	0	5	5	0	1	0	0	1	-4	27.0
Julian Strawther	DEN	DEN @ NOP	11/15/2024	L	20	5	1	6	16.7	1	4	25.0	2	2	100	0	3	3	0	0	0	1	1	-11	7.6
Dario Šarić	DEN	DEN @ NOP	11/15/2024	L	34	9	4	9	44.4	1	5	20.0	0	0	-	1	7	8	5	1	0	4	4	12	25.1
Russell Westbrook	DEN	DEN @ NOP	11/15/2024	L	22	5	2	8	25.0	1	3	33.3	0	0	-	1	3	4	7	0	0	1	3	-1	19.3
Zeke Nnaji	DEN	DEN vs. DAL	11/10/2024	W	10	2	1	2	50.0	0	1	0.0	0	2	0.0	0	2	2	1	0	0	0	1	-11	5.9
Russell Westbrook	DEN	DEN vs. DAL	11/10/2024	W	20	6	3	10	30.0	0	2	0.0	0	0	-	2	3	5	5	1	0	2	2	-13	20.5
Jamal Murray	DEN	DEN vs. DAL	11/10/2024	W	38	18	7	17	41.2	2	6	33.3	2	5	40.0	0	1	1	6	0	0	2	3	15	26.2
Nikola Jokić	DEN	DEN vs. DAL	11/10/2024	W	38	37	13	21	61.9	3	3	100	8	8	100	8	10	18	15	3	0	4	2	13	86.1
Julian Strawther	DEN	DEN vs. DAL	11/10/2024	W	23	12	4	9	44.4	2	5	40.0	2	3	66.7	0	1	1	1	1	2	1	2	-7	22.7
Michael Porter Jr.	DEN	DEN vs. DAL	11/10/2024	W	36	17	6	11	54.5	2	6	33.3	3	4	75.0	0	7	7	4	1	2	0	2	2	40.4
Christian Braun	DEN	DEN vs. DAL	11/10/2024	W	35	14	5	10	50.0	1	2	50.0	3	4	75.0	2	4	6	2	0	0	1	3	8	23.2
Peyton Watson	DEN	DEN vs. DAL	11/10/2024	W	40	16	6	9	66.7	4	4	100	0	0	-	1	4	5	1	0	1	0	1	3	26.5
